employerName,jobUrl,employerProfileId,applications,employerId,jobId,employerProfileName,jobTitle,maximumSalary,expirationDate,date,minimumSalary,currency,jobDescription,locationName
Circle Recruitment,https://www.reed.co.uk/jobs/seo-analyst/54569442,,78,107519,54569442,,SEO Analyst,35000.0,14/04/2025,03/03/2025,26000.0,GBP,"SEO Analyst Location: Fully remote Are you obsessed with keywords, data-driven insights, and cracking the SEO code? If yes, we're looking for a Search Insights Analyst who doesn't just tick boxes but thinks beyond them. In this role, you'll dive deep into keyword research, using tools like Ahrefs, SEMrush, and Google Keyword Planner to uncover high-impact opportunities that drive traffic and engagement. You'll collaborate closely with writers, e... ",Manchester
Sellick Partnership,https://www.reed.co.uk/jobs/pensions-analyst/54577908,,79,80599,54577908,,Pensions Analyst,50000.0,15/04/2025,04/03/2025,40000.0,GBP,Pensions Analyst sought for by our client who is seeking a candidate with experience of technical Pensions calculations to join them as a Pensions Analyst. An ideal opportunity for individuals seeking to take on a significant role on a wide range of DB pensions projects by joining as a Pensions Analyst. Responsibilities of the Pensions Analyst: A substantial involvement in various defined benefit pension projects Due diligence on benefits and da... ,London
Randstad Technologies,https://www.reed.co.uk/jobs/data-governance-and-strategic-data-lead/54585660,,60,612529,54585660,,Data Governance and Strategic Data Lead,62000.0,16/04/2025,05/03/2025,58000.0,GBP,"Data Governance and Strategic Data Lead Location: Rotherham (Hybrid - Some Travel Required) Salary: 58,000 - 62,000 per annum Job Type: Full-Time, Permanent Our client, a leading organisation in the facilities management sector, is seeking an experienced Data Governance and Strategic Data Lead to develop and oversee a high-level data governance function. This is a fantastic opportunity to play a pivotal role in shaping data strategy, ensuring co... ",South Yorkshire
P3M Recruitment,https://www.reed.co.uk/jobs/kronos-analyst/54641358,,13,500421,54641358,,Kronos Analyst,,10/04/2025,13/03/2025,,,"Job Title: Kronos Analyst Location: Remote Contract: Inside IR35 Hours/Duration: Full time, 5 days per week, 6 Month contract The role of Kronos Analyst Our client, who is an industry leader in workplace services, is looking for an experienced Kronos Analyst to join their existing Team as a contractor for a period of 6 months. This is a great opportunity for an individual who is proficient in setting up and configuring Kronos to meet deployment ... ",Manchester
Savant Recruitment,https://www.reed.co.uk/jobs/finance-analyst/54557014,,259,503962,54557014,,Finance Analyst,,11/04/2025,28/02/2025,,,"Finance Analyst - Fully Remote - Following a period of reorganisation, this dynamic full-service sales, marketing and client solution is looking to recruit a high calibre, Part Qualified Accountant with at least 1 year's relevant experience as a Finance Analyst to work within its FP&amp;A team. Knowledge of Power BI is essential for the position. This role will be pivotal in shaping the financial function of the company by providing insightful a... ",London
Robert Half,https://www.reed.co.uk/jobs/treasury-analyst/54582592,,110,664120,54582592,,Treasury Analyst,40.0,15/04/2025,04/03/2025,30.0,GBP,"Robert Half Finance and Accounting are exclusively partnering with a global Engineering firm who are looking to hire an immediate, interim Treasury Analyst for 3 months. Role: Our client is looking to recruit an immediate, interim Treasury Analyst for a 3 month contract. In this role you will be responsible for the following duties: Effectively manage treasury operations department in Shared Services - Finance Team. Assist with managing and buil... ",London
INTEC SELECT LIMITED,https://www.reed.co.uk/jobs/technology-reporting-analyst/54663034,,13,524441,54663034,,Technology Reporting Analyst,60000.0,29/04/2025,18/03/2025,55000.0,GBP,"Technology Reporting Analyst – Financial Services – Up to 60k 20% bonus – City of London - Hybrid Overview: We are currently partnered with a leading Financial Services organisation who are seeking a Technology Reporting Analyst to join our Technology Reporting &amp; Service Catalogue team within the IT Planning, Reporting, and Administration department (IPR). This team is responsible for EMEA-wide Technology reporting, resource and asset manage... ",EC3N2EX
Method Resourcing,https://www.reed.co.uk/jobs/cognos-developer-analyst/54646099,,11,589273,54646099,,Cognos Developer Analyst,375.0,25/04/2025,14/03/2025,350.0,GBP,Contract | Cognos Developer | Analyst | Business Intelligence | Fully Remote | Inside IR35 | 350 - 375 This is a fantastic opportunity for a Cognos wizard to join a boutique data consultancy for a 5-month assignment. You will be responsible for training the client's teams on their Cognos migration and building Cognos reports. This role is fully remote although you may occasionally be required on client site. We are looking for someone who has go... ,Reading
Pro-Finance,https://www.reed.co.uk/jobs/financial-modelling-analyst/54627355,,75,339255,54627355,,Financial Modelling Analyst,55000.0,22/04/2025,11/03/2025,50000.0,GBP,"Financial Modelling Analyst | 50,000 - 55,000 | 12-month FTC | Fully Remote For the UKs largest not-for-profit social enterprise in the employment and social mobility sector, we are recruiting a Financial Modeller / Analyst on a 12-month contract which could go permanent. Working closely with the finance business partners and commercial operations teams, this role will develop, implement, and review commercial bids and acquisitions and will prov... ",EC1N8SS
Method Resourcing,https://www.reed.co.uk/jobs/data-analytics-consultant-cognos/54434099,,156,589273,54434099,,Data Analytics Consultant - Cognos,65000.0,20/03/2025,06/02/2025,60000.0,GBP,"Data Analytics Consultant | Data Analyst | Dashboard | Cognos | PowerBI | Fully Remote | 60,000 - 65,000 | SC Clearance Our favourite boutique data consultancy are expanding their team due to their growing client base and increasing volume of work. This is a fantastic opportunity for a well-rounded Analytics Consultant to join a small but highly skilled team who pride themselves on providing excellent consultancy services for a wide ranging clie... ",Reading
